cust_id	sales_total	num_of_orders	gender
100244	1322.44	7	F
100245	1699.21	9	F
100246	1324.05	7	F
100247	1217.21	6	F
100248	1318.18	7	M
100249	1694.27	9	M
100250	1181.33	6	M
100251	1508.85	8	F
100252	965.48	5	M
100253	1152.07	6	F
100254	1320.60	7	F
100255	1718.15	9	M
100256	1558.05	8	F
100257	1171.34	6	F
100258	1156.44	6	F
100259	1354.87	7	M
100260	1525.86	8	M
100261	1158.42	6	M
100262	1343.44	7	M
100263	1185.55	6	M
100264	1195.93	6	M
100265	990.80	5	M
100266	1518.43	8	F
100267	1312.63	7	F
100268	1343.35	7	F
100269	1366.53	7	F
100270	1171.50	6	F
100271	1360.24	7	M
100272	1341.49	7	M
100273	1556.85	8	M
100274	1186.37	6	F
100275	1304.55	7	M
100276	1133.50	6	M
100277	1502.08	8	F
100278	1214.34	6	M
100279	1329.87	7	F
100280	1021.44	5	M
100281	1353.37	7	M
100282	1503.54	8	M
100283	1346.63	7	F
100284	1196.91	6	F
100285	1206.84	6	M
100286	980.08	5	F
100287	1207.63	6	M
100288	1293.23	7	M
100289	1133.72	6	F
100290	1530.51	8	F
100291	1319.65	7	M
100292	1381.93	7	M
100293	1318.38	7	F
100294	1379.68	7	M
100295	1339.53	7	F
100296	965.96	5	F
100297	1481.99	8	F
100298	1484.08	8	F
100299	1299.84	7	M
100300	1291.54	7	M
100301	1208.08	6	F
100302	1463.38	8	F
100303	1128.43	6	M
100304	1317.93	7	M
100305	1539.82	8	F
100306	1304.94	7	M
100307	1514.25	8	M
100308	1216.12	6	F
100309	1361.16	7	M
100310	954.58	5	F
100311	1519.75	8	M
100312	1347.27	7	M
100313	1209.97	6	F
100314	1291.25	7	F
100315	1504.04	8	M
100316	1323.91	7	F
100317	1367.94	7	M
100318	1362.60	7	M
100319	1216.93	6	F
100320	1379.81	7	F
100321	1662.21	9	F
100322	1476.92	8	F
100323	1542.36	8	M
100324	1347.08	7	F
100325	1387.37	7	M
100326	1324.98	7	F
100327	964.84	5	M
100328	1662.39	9	M
100329	1529.06	8	F
100330	1547.53	8	F
100331	1307.90	7	M
100332	1541.66	8	M
100333	1374.69	7	F
100334	1365.44	7	M
100335	1180.21	6	F
100336	1364.49	7	M
100337	1182.91	6	M
100338	1213.63	6	F
100339	1531.76	8	F
100340	1500.02	8	F
100341	1295.81	7	M
100342	1207.26	6	M
100343	1503.52	8	F
100344	990.60	5	M
100345	1319.59	7	M
100346	1154.93	6	M
100347	1355.33	7	F
100348	1139.60	6	M
100349	1550.34	8	F
100350	1319.25	7	M
100351	1352.93	7	F
100352	1463.72	8	M
100353	1345.43	7	F
100354	996.43	5	F
100355	1319.90	7	F
100356	1691.64	9	F
100357	1515.98	8	M
100358	1350.36	7	F
100359	1658.62	9	F
100360	1487.17	8	M
100361	1320.96	7	M
100362	1367.64	7	F
100363	1303.95	7	F
100364	1340.04	7	M
100365	1335.03	7	F
100366	1483.89	8	M
100367	1540.28	8	M
100368	1182.59	6	M
100369	960.17	5	F
100370	966.64	5	M
100371	1473.15	8	M
100372	1122.47	6	M
100373	871.41	4	F
100374	1556.08	8	F
100375	1204.44	6	M
100376	1321.86	7	F
100377	1366.36	7	M
100378	1345.55	7	M
100379	1163.97	6	M
100380	1156.23	6	F
100381	1467.29	8	M
100382	1325.31	7	F
100383	1300.58	7	M
100384	974.12	5	F
100385	1132.71	6	F
100386	1367.84	7	F
100387	857.76	4	F
100388	1490.51	8	F
100389	1191.03	6	F
100390	1541.26	8	F
100391	1316.23	7	F
100392	1486.52	8	M
100393	1314.55	7	M
100394	1491.56	8	M
100395	1490.70	8	M
100396	1337.86	7	M
100397	1189.96	6	M
100398	1661.36	9	F
100399	1483.75	8	M
100400	1488.23	8	F
100401	1137.62	6	F
100402	1356.47	7	M
100403	964.49	5	F
100404	1729.82	9	F
100405	1201.33	6	F
100406	1556.53	8	M
100407	1355.27	7	M
100408	1149.75	6	M
100409	1214.44	6	M
100410	1368.49	7	F
100411	1367.85	7	M
100412	1353.65	7	F
100413	1503.43	8	M
100414	1156.10	6	M
100415	1369.11	7	F
100416	1189.07	6	F
100417	1208.90	6	M
100418	1317.60	7	M
100419	1215.02	6	F
100420	1488.02	8	M
100421	1376.23	7	M
100422	1303.77	7	F
100423	1299.05	7	F
100424	1535.83	8	M
100425	1329.06	7	F
100426	1343.82	7	M
100427	1329.86	7	M
100428	1123.88	6	M
100429	1345.17	7	F
100430	1313.47	7	M
100431	1196.47	6	F
100432	1136.68	6	M
100433	1531.12	8	F
100434	1682.51	9	M
100435	1180.20	6	M
100436	1529.56	8	M
100437	1516.28	8	M
100438	1545.30	8	M
100439	1676.87	9	M
100440	1175.36	6	M
100441	1353.79	7	M
100442	1169.06	6	M
100443	1530.98	8	F
100444	1537.79	8	F
100445	1300.12	7	F
100446	1366.39	7	F
100447	1717.19	9	M
100448	1334.84	7	F
100449	1129.38	6	F
100450	1553.02	8	M
100451	1693.47	9	M
100452	1313.32	7	F
100453	1486.05	8	F
100454	1169.44	6	M
100455	1373.49	7	F
100456	1329.49	7	M
100457	1833.30	10	F
100458	1529.96	8	M
100459	1152.79	6	M
100460	1010.51	5	M
100461	1196.26	6	F
100462	1475.77	8	F
100463	1311.78	7	M
100464	1499.98	8	M
100465	1188.11	6	M
100466	1136.25	6	F
100467	1364.55	7	F
100468	1181.05	6	M
100469	1179.19	6	F
100470	1511.21	8	F
100471	1311.35	7	M
100472	1340.81	7	F
100473	1352.17	7	F
100474	1331.12	7	F
100475	1484.92	8	F
100476	1300.30	7	M
100477	1322.48	7	M
100478	1320.85	7	M
100479	1029.08	5	F
100480	1318.67	7	F
100481	1190.23	6	M
100482	1368.29	7	M
100483	1218.10	6	M
100484	1187.02	6	F
100485	1539.64	8	M
100486	1163.18	6	F
100487	1336.60	7	M
100488	1541.82	8	M
100489	1180.51	6	M
100490	1012.08	5	F
100491	1206.97	6	M
100492	1657.42	9	F
100493	1554.97	8	F
100494	1540.28	8	M
100495	1307.64	7	M
100496	1340.65	7	F
100497	2041.17	11	F
100498	1163.76	6	M
100499	1546.25	8	M
100500	1484.01	8	F
100501	1139.98	6	F
100502	972.35	5	M
100503	1292.52	7	F
100504	1345.19	7	M
100505	1717.04	9	F
100506	1327.24	7	F
100507	1372.24	7	M
100508	1490.98	8	M
100509	1309.19	7	M
100510	1465.43	8	F
100511	1181.52	6	M
100512	1675.33	9	F
100513	1469.61	8	M
100514	1314.31	7	M
100515	1487.29	8	M
100516	1209.99	6	M
100517	1305.11	7	M
100518	1512.90	8	M
100519	1134.72	6	M
100520	1538.94	8	M
100521	1543.39	8	F
100522	1494.11	8	F
100523	1331.32	7	F
100524	1318.22	7	F
100525	1498.74	8	M
100526	1357.16	7	F
100527	1539.47	8	M
100528	1190.47	6	M
100529	1473.98	8	M
100530	1356.96	7	M
100531	1548.00	8	M
100532	1290.12	7	M
100533	1379.43	7	F
100534	1554.61	8	M
100535	1304.79	7	F
100536	1496.10	8	M
100537	1697.38	9	M
100538	1371.50	7	M
100539	1296.32	7	F
100540	1360.59	7	F
100541	1123.40	6	M
100542	1385.88	7	M
100543	1131.21	6	M
100544	1520.53	8	M
100545	1144.41	6	M
100546	1146.75	6	F
100547	1370.67	7	F
100548	1323.08	7	M
100549	1556.42	8	M
100550	1386.45	7	M
100551	1352.08	7	M
100552	1530.27	8	F
100553	1545.37	8	F
100554	1486.05	8	F
100555	965.10	5	M
100556	1298.92	7	F
100557	1155.14	6	F
100558	1016.36	5	F
100559	1296.78	7	M
100560	1327.22	7	F
100561	1357.07	7	M
100562	1656.67	9	F
100563	1383.92	7	M
100564	1182.47	6	F
100565	1153.12	6	M
100566	1369.69	7	M
100567	1335.83	7	M
100568	1155.14	6	F
100569	1360.38	7	F
100570	878.72	4	F
100571	1168.52	6	M
100572	1217.61	6	F
100573	1125.82	6	M
100574	1342.28	7	F
100575	1291.23	7	M
100576	1345.82	7	M
100577	1306.70	7	F
100578	1541.42	8	F
100579	1317.04	7	M
100580	1331.43	7	F
100581	1464.82	8	M
100582	1375.19	7	M
100583	1205.05	6	M
100584	1361.67	7	F
100585	788.52	4	M
100586	1544.07	8	F
100587	1499.41	8	F
100588	1523.50	8	F
100589	1347.99	7	F
100590	1378.53	7	F
100591	1184.39	6	F
100592	1461.27	8	M
100593	1667.23	9	F
100594	1383.97	7	M
100595	1387.89	7	F
100596	1545.90	8	M
100597	1194.13	6	M
100598	1490.50	8	F
100599	1152.62	6	F
100600	1641.08	9	M
100601	1193.74	6	M
100602	1360.71	7	F
100603	1374.92	7	M
100604	1178.60	6	M
100605	1532.01	8	F
100606	1386.02	7	F
100607	1648.25	9	F
100608	1315.62	7	F
100609	1185.53	6	F
100610	1715.34	9	F
100611	1296.82	7	M
100612	1378.14	7	M
100613	1524.76	8	M
100614	1539.81	8	M
100615	1322.60	7	M
100616	1326.40	7	M
100617	1189.04	6	F
100618	1369.12	7	F
100619	1138.80	6	F
100620	1326.83	7	M
100621	1514.37	8	M
100622	1713.80	9	M
100623	1328.89	7	M
100624	1379.36	7	M
100625	1553.81	8	M
100626	1542.13	8	F
100627	1355.59	7	F
100628	1165.36	6	M
100629	1215.58	6	M
100630	1342.45	7	F
100631	1651.27	9	F
100632	1177.66	6	M
100633	1128.27	6	F
100634	1192.30	6	F
100635	1334.85	7	M
100636	1153.79	6	F
100637	1364.07	7	M
100638	1471.64	8	M
100639	1482.92	8	F
100640	1189.48	6	M
100641	1531.72	8	M
100642	1372.06	7	F
100643	1474.34	8	F
100644	1468.35	8	F
100645	1358.72	7	M
100646	1509.49	8	M
100647	1301.82	7	M
100648	1149.03	6	M
100649	1388.49	7	F
100650	1208.48	6	F
100651	1145.40	6	F
100652	1336.97	7	M
100653	1535.31	8	F
100654	1521.53	8	F
100655	1320.49	7	M
100656	1557.24	8	F
100657	1318.45	7	M
100658	1492.13	8	F
100659	1516.23	8	F
100660	1667.51	9	M
100661	2211.16	12	M
100662	2152.98	12	M
100663	1831.93	10	F
100664	2703.27	15	F
100665	1674.77	9	F
100666	2389.91	13	M
100667	1889.39	10	M
100668	1687.70	9	M
100669	1866.52	10	F
100670	1207.06	6	M
100671	1809.78	10	F
100672	873.65	4	F
100673	1827.37	10	F
100674	1536.47	8	F
100675	1375.63	7	F
100676	1679.24	9	M
100677	1129.14	6	F
100678	1204.25	6	F
100679	2661.70	15	F
100680	1138.50	6	F
100681	2821.65	16	F
100682	1654.70	9	F
100683	1375.24	7	M
100684	1340.47	7	M
100685	1313.85	7	M
100686	1696.43	9	F
100687	1862.66	10	F
100688	2565.88	14	F
100689	1874.57	10	M
100690	1899.44	10	M
100691	2150.16	12	M
100692	1524.18	8	M
100693	1210.61	6	F
100694	2059.72	11	F
100695	1813.96	10	F
100696	1505.52	8	M
100697	2575.97	14	M
100698	1139.37	6	M
100699	1316.30	7	M
100700	2826.49	16	F
100701	1712.75	9	M
100702	966.70	5	F
100703	1553.30	8	M
100704	2046.50	11	M
100705	2359.27	13	M
100706	2363.40	13	F
100707	1320.85	7	F
100708	2057.34	11	M
100709	1171.41	6	F
100710	1715.92	9	F
100711	2047.24	11	M
100712	1324.75	7	M
100713	1364.88	7	F
100714	2373.20	13	F
100715	2019.60	11	M
100716	1633.90	9	M
100717	1461.49	8	M
100718	2379.34	13	M
100719	1863.77	10	M
100720	2518.21	14	M
100721	1634.75	9	F
100722	1853.03	10	F
100723	692.05	3	F
100724	1515.38	8	M
100725	1342.50	7	M
100726	1331.27	7	M
100727	1988.45	11	M
100728	1509.60	8	F
100729	1381.96	7	M
100730	1168.36	6	F
100731	1191.31	6	M
100732	1890.31	10	M
100733	1825.62	10	M
100734	1679.28	9	F
100735	2357.44	13	F
100736	1874.56	10	M
100737	1532.99	8	F
100738	1500.11	8	F
100739	991.94	5	F
100740	1309.76	7	F
100741	1140.84	6	M
100742	1645.76	9	F
100743	1376.51	7	M
100744	1880.87	10	M
100745	2387.53	13	F
100746	3005.92	17	M
100747	1682.98	9	M
100748	1633.35	9	F
100749	1641.77	9	F
100750	3073.17	17	F
100751	2674.62	15	F
100752	1639.42	9	F
100753	1462.55	8	F
100754	1686.25	9	M
100755	1470.79	8	F
100756	1300.03	7	F
100757	1381.78	7	M
100758	1166.39	6	F
100759	1982.54	11	M
100760	1815.67	10	M
100761	1838.72	10	M
100762	1992.40	11	F
100763	2156.54	12	M
100764	1305.97	7	M
100765	1641.29	9	F
100766	1508.48	8	F
100767	2062.53	11	M
100768	2069.61	11	M
100769	1984.34	11	F
100770	2183.98	12	F
100771	1515.06	8	F
100772	1376.06	7	F
100773	2365.30	13	F
100774	1522.89	8	F
100775	1643.26	9	F
100776	1514.83	8	M
100777	2205.65	12	M
100778	1328.17	7	M
100779	2695.93	15	M
100780	1173.24	6	F
100781	1654.70	9	M
100782	833.28	4	M
100783	1639.35	9	F
100784	2529.03	14	M
100785	1981.12	11	F
100786	1721.75	9	M
100787	337.66	1	F
100788	1826.75	10	F
100789	1333.12	7	M
100790	1803.69	10	F
100791	1887.33	10	F
100792	1212.57	6	M
100793	1727.32	9	F
100794	1214.09	6	M
100795	1876.43	10	F
100796	2229.32	12	M
100797	1515.85	8	F
100798	1326.95	7	F
100799	1712.35	9	M
100800	1488.71	8	M
100801	453.36	2	F
100802	1719.88	9	F
100803	1545.89	8	F
100804	1845.54	10	F
100805	2164.65	12	M
100806	985.62	5	M
100807	3066.22	17	M
100808	1979.63	11	M
100809	1690.77	9	F
100810	2010.67	11	M
100811	1342.18	7	M
100812	2183.82	12	M
100813	3036.24	17	M
100814	1656.48	9	M
100815	1513.53	8	F
100816	797.98	4	F
100817	1703.16	9	M
100818	1524.31	8	M
100819	1018.19	5	M
100820	1153.76	6	M
100821	1682.73	9	F
100822	2044.56	11	F
100823	1476.65	8	F
100824	1201.73	6	M
100825	1652.41	9	M
100826	2033.35	11	F
100827	1163.68	6	F
100828	1838.18	10	M
100829	804.19	4	F
100830	1889.01	10	F
100831	2190.01	12	F
100832	1296.84	7	F
100833	1498.68	8	F
100834	956.09	5	M
100835	1858.00	10	M
100836	477.00	2	M
100837	2017.68	11	F
100838	1693.12	9	F
100839	1647.76	9	F
100840	2517.52	14	M
100841	1170.91	6	M
100842	1859.73	10	F
100843	1989.47	11	M
100844	2698.23	15	M
100845	2174.84	12	F
100846	1183.44	6	M
100847	1121.14	6	M
100848	2033.42	11	M
100849	1809.84	10	M
100850	2356.89	13	F
100851	1164.66	6	F
100852	1526.34	8	M
100853	1487.39	8	M
100854	1491.37	8	F
100855	1549.40	8	F
100856	1355.52	7	F
100857	2022.70	11	M
100858	2154.08	12	M
100859	860.34	4	M
100860	1197.91	6	M
100861	1351.28	7	F
100862	2575.50	14	F
100863	1462.96	8	M
100864	2038.78	11	M
100865	1178.48	6	M
100866	1144.17	6	M
100867	2403.38	13	F
100868	2168.16	12	M
100869	2154.01	12	M
100870	2747.56	15	F
100871	2394.23	13	F
100872	2159.22	12	M
100873	1476.64	8	M
100874	1719.12	9	M
100875	993.84	5	F
100876	802.37	4	F
100877	663.52	3	M
100878	1667.71	9	F
100879	1476.21	8	F
100880	1463.42	8	M
100881	1696.96	9	M
100882	2400.96	13	M
100883	2212.64	12	F
100884	1352.34	7	F
100885	1507.41	8	M
100886	1543.51	8	M
100887	837.50	4	M
100888	2166.58	12	F
100889	1669.33	9	F
100890	1168.97	6	F
100891	2174.20	12	M
100892	1675.08	9	M
100893	2215.08	12	F
100894	3165.65	18	M
100895	1880.55	10	M
100896	1873.68	10	M
100897	1644.03	9	F
100898	1658.94	9	F
100899	1376.49	7	M
100900	1137.73	6	M
100901	1149.32	6	F
100902	1876.30	10	F
100903	1716.29	9	F
100904	1994.71	11	F
100905	2564.46	14	F
100906	2538.33	14	F
100907	1131.65	6	M
100908	1146.97	6	F
100909	1865.52	10	F
100910	1472.69	8	M
100911	1150.79	6	M
100912	1492.85	8	F
100913	1172.93	6	M
100914	2500.90	14	F
100915	1701.68	9	M
100916	1668.71	9	F
100917	1856.58	10	F
100918	2143.65	12	M
100919	1838.78	10	M
100920	1141.06	6	M
100921	1124.29	6	M
100922	1207.18	6	F
100923	1719.96	9	M
100924	2856.37	16	M
100925	1705.33	9	M
100926	2480.78	14	F
100927	2161.44	12	M
100928	1983.58	11	F
100929	1661.99	9	M
100930	1831.69	10	F
100931	1705.92	9	M
100932	1675.66	9	F
100933	1803.26	10	F
100934	2025.68	11	F
100935	2383.20	13	M
100936	2008.02	11	F
100937	2052.47	11	M
100938	1682.59	9	M
100939	2015.81	11	F
100940	812.88	4	F
100941	2741.65	15	M
100942	1879.78	10	F
100943	1856.66	10	M
100944	1005.69	5	F
100945	1022.54	5	M
100946	2167.26	12	F
100947	1818.49	10	F
100948	2174.88	12	M
100949	2195.07	12	M
100950	1193.26	6	M
100951	1315.90	7	F
100952	2406.15	13	F
100953	834.33	4	M
100954	2155.04	12	F
100955	956.39	5	F
100956	2063.47	11	M
100957	2175.47	12	M
100958	506.77	2	M
100959	990.91	5	M
100960	1689.08	9	F
100961	1291.26	7	M
100962	865.63	4	M
100963	1696.27	9	F
100964	1801.16	10	M
100965	1370.02	7	F
100966	1676.21	9	F
100967	2055.77	11	F
100968	2220.32	12	F
100969	1468.20	8	F
100970	2043.71	11	F
100971	2222.35	12	F
100972	832.61	4	M
100973	1160.84	6	M
100974	1461.06	8	M
100975	1630.37	9	F
100976	1147.87	6	M
100977	2192.00	12	F
100978	1558.71	8	F
100979	1150.06	6	F
100980	2345.09	13	F
100981	1362.93	7	M
100982	1215.03	6	F
100983	1522.47	8	M
100984	824.69	4	F
100985	1540.24	8	M
100986	2059.51	11	F
100987	1544.60	8	F
100988	1671.47	9	M
100989	1188.14	6	F
100990	1812.24	10	M
100991	783.14	4	M
100992	1530.90	8	F
100993	1183.03	6	M
100994	1878.46	10	M
100995	981.63	5	M
100996	985.67	5	M
100997	1702.05	9	F
100998	869.66	4	F
100999	1886.99	10	F
101000	1546.74	8	M
101001	1306.00	7	F
101002	1207.08	6	M
101003	509.08	2	M
101004	1477.45	8	F
101005	1323.09	7	F
101006	2043.69	11	M
101007	1641.09	9	M
101008	1467.43	8	F
101009	1200.19	6	M
101010	1466.97	8	F
101011	2018.67	11	F
101012	1374.54	7	M
101013	981.88	5	F
101014	1880.67	10	M
101015	2146.37	12	M
101016	1842.44	10	M
101017	2193.97	12	F
101018	956.82	5	F
101019	1684.28	9	F
101020	2015.70	11	M
101021	2043.73	11	F
101022	1516.10	8	M
101023	1839.06	10	M
101024	1705.85	9	M
101025	2168.39	12	M
101026	1360.19	7	F
101027	2018.78	11	M
101028	995.75	5	M
101029	2159.42	12	M
101030	1206.40	6	M
101031	1359.02	7	F
101032	2348.03	13	M
101033	2166.76	12	F
101034	1463.80	8	M
101035	1510.02	8	M
101036	1641.92	9	F
101037	1513.78	8	M
101038	1659.94	9	F
101039	1863.08	10	F
101040	1869.79	10	F
101041	2209.44	12	F
101042	1859.74	10	M
101043	1143.90	6	F
101044	2022.66	11	M
101045	2373.85	13	M
101046	1362.40	7	F
101047	1162.04	6	F
101048	1718.14	9	F
101049	2192.13	12	F
101050	1801.35	10	F
101051	1314.23	7	F
101052	1149.90	6	F
101053	2403.66	13	M
101054	1475.38	8	F
101055	1536.42	8	F
101056	871.85	4	M
101057	1038.99	5	F
101058	1527.86	8	F
101059	1507.43	8	F
101060	2655.35	15	M
101061	1632.70	9	M
101062	1729.22	9	F
101063	1464.99	8	M
101064	1636.15	9	F
101065	1691.76	9	M
101066	1703.52	9	M
101067	1645.35	9	M
101068	1691.19	9	M
101069	1292.66	7	M
101070	964.63	5	M
101071	2396.82	13	M
101072	1310.39	7	M
101073	1994.19	11	M
101074	1874.51	10	M
101075	1880.24	10	M
101076	1970.76	11	F
101077	684.10	3	M
101078	1654.30	9	M
101079	2350.54	13	M
101080	1345.55	7	F
101081	1674.90	9	F
101082	2372.28	13	M
101083	1492.71	8	F
101084	1669.96	9	M
101085	1877.79	10	F
101086	1874.09	10	F
101087	1388.09	7	F
101088	2374.29	13	M
101089	1845.61	10	M
101090	1359.56	7	F
101091	1709.99	9	M
101092	1498.86	8	F
101093	2564.05	14	F
101094	1727.60	9	F
101095	1493.96	8	F
101096	1831.10	10	F
101097	1712.69	9	F
101098	977.54	5	M
101099	1668.37	9	M
101100	2532.00	14	F
101101	2030.49	11	F
101102	1715.09	9	F
101103	2194.12	12	M
101104	1973.83	11	M
101105	969.21	5	F
101106	659.14	3	M
101107	2146.40	12	M
101108	780.80	4	F
101109	1518.88	8	F
101110	1030.01	5	F
101111	1038.84	5	F
101112	1821.98	10	M
101113	1002.45	5	F
101114	1479.11	8	M
101115	1657.04	9	M
101116	2313.79	13	F
101117	1681.26	9	F
101118	1510.68	8	M
101119	1986.29	11	M
101120	2205.98	12	M
101121	1725.04	9	M
101122	2215.76	12	F
101123	2547.31	14	M
101124	1138.36	6	F
101125	1524.17	8	F
101126	2215.20	12	F
101127	2033.92	11	F
101128	1894.38	10	M
101129	2195.18	12	F
101130	2238.37	12	F
101131	1848.86	10	M
101132	1141.76	6	M
101133	2029.30	11	F
101134	1997.76	11	M
101135	1290.32	7	M
101136	2055.87	11	F
101137	1186.50	6	F
101138	2040.83	11	F
101139	1650.47	9	F
101140	2372.55	13	M
101141	1890.14	10	M
101142	1341.56	7	F
101143	1500.59	8	F
101144	1897.10	10	F
101145	788.46	4	M
101146	1501.22	8	M
101147	2018.94	11	F
101148	1510.76	8	M
101149	2040.05	11	F
101150	2024.91	11	F
101151	2154.29	12	M
101152	1339.88	7	M
101153	1146.14	6	F
101154	1870.29	10	F
101155	1129.62	6	F
101156	1155.72	6	F
101157	1530.72	8	F
101158	1840.55	10	M
101159	2021.11	11	F
101160	1702.85	9	M
101161	1983.95	11	F
101162	1366.86	7	M
101163	1328.12	7	F
101164	1832.21	10	M
101165	1388.05	7	F
101166	2046.78	11	M
101167	1632.33	9	F
101168	1841.81	10	F
101169	1517.60	8	M
